Pos.,Topic SourceTitle,Total,Cited by,EID,Year,Title,Abstract,Document type,Authors,Author keywords,Both keywords,Country,EID2
,,,0,2-s2.0-84966592170,2015,Hematological evaluation and monitoring in adult patients diagnosed with schizophrenia,"Objectives To guide the clinician in taking decisions on the best strategies for assessing and monitoring the risk of blood disorders in adults diagnosed with schizophrenia in pharmacological treatment. Method A clinical practice guideline was developed following the guidelines of the Methodological Guide of the Ministry of Social Protection to collect evidence and grade recommendations. De novoliterature researchwas performed. Results With the use of antipsychotics there isriskofreducción in the leukocyte count and the risk of agranulocytosis,the later associated with the use of clozapine, although it is a rare event(0.8%) can be fatal; this effect occurs most frequently in the first twelve weeks of treatment and the risk is maintained aroundthe first year of it. Conclusion The recommendations were considered strongin all hematologic related monitoring.A blood count should be taken at the start of pharmacological treatment. If the patient is started on clozapine one shouldbe taken weekly during the first three months, monthly until completing one year and every six months thereafter. If there is a decrease in white blood cell count the patient should be monitored regularly, stopping if is a less than 3,500 cells/mm3 and consider referral if is less than 2,000 cells/mm3.",Article,"Tamayo Martinez, Nathalie.; Bohorquez-Penaranda, Adriana Patricia.; Garcia Valencia, Jenny.; Unknown.; Avila, Mauricio J.ose.; Gomez-Restrepo, Carlos.; Unknown",Agranulocytosis;Antipsychotics;Clinical Practice Guidelines;Hematologic disorders;Schizophrenia,Agranulocytosis;Antipsychotics;Clinical Practice Guidelines;Hematologic disorders;Schizophrenia,Colombia;Colombia;Colombia,
,,,0,2-s2.0-85064432479,2020,Hyponatraemia Associated with the Use of Quetiapine: Case Report,"Hyponatraemia is the most common electrolyte disturbance in the elderly. It can be asymptomatic or produce a spectrum of symptoms, particularly in the central nervous system, such as altered state of consciousness, lethargy, headache, seizures and gait disturbances, all of which are a common reason for consultation in this population. This condition has a high impact on the functionality of the patient given the need for multiple hospital stays, as well as on mortality. Its aetiology is multifactorial and its most common causes include low salt intake, chronic diseases such as kidney disease and heart failure, and the syndrome of inappropriate antidiuretic hormone secretion (SIADH), which is commonly caused by the chronic use of certain drugs, such as antidepressants, diuretics and antipsychotics, which are the most forgotten in clinical practice. The following clinical case presents the diagnostic approach of hyponatraemia and the importance of the medical history as a key tool to detect the aetiology of this clinical entity.",Article,"Unknown.; Morales, Sergio.; Unknown",Elderly;Hyponatraemia;Psychotropic drugs;Quetiapine,Elderly;Hyponatraemia;Psychotropic drugs;Quetiapine,Colombia;Colombia,
,,,0,2-s2.0-85097757323,2022,Implementation of a Multi-Family Intervention for Children With Behavioural and Emotional Problems in a Semi-Rural Population,"Objective: To determine the feasibility of implementing a community-based, multi-family group intervention in a semi-rural population in Aranzazu, northern Caldas, Colombia. Methods: Qualitative study. A convenience sample was taken of 10 families with children with affective and behavioural disorders, previously identified by the Child Behaviour Checklist (CBCL). The Multifamily Psychoeducational Psychotherapy (MF-PEP) model was adapted to the culture and needs of the families. Results: The contents of the sessions and the topics and experiences that were most significant for the children and their families are described. Conclusions: The adaptation to the cultural context of the multi-family intervention had a very good acceptability by all participants: caregivers, children and therapists.",Article,"Jordan-Quintero, Martha Isabel.; Unknown.; Unknown.; Unknown.; Uribe, Jose Miguel",Affective symptoms;Child;Community;Family;Multiple psychotherapy,Affective symptoms;Child;Community;Family;Multiple psychotherapy,Colombia;Colombia;Colombia,
,,,0,2-s2.0-85125477762,2022,Incidence of confusional syndrome (delirium) in a Latin American university hospital,"Background: Little is known about the incidence of delirium and its subtypes in patients admitted to different departments of university hospitals in Latin America. Objective: To determine the incidence of delirium and the frequency of its subtypes, as well as its associated factors, in patients admitted to different departments of a university hospital in Bogotá, Colombia. Methods: A cohort of patients over 18 years of age admitted to the internal medicine (IM), geriatrics (GU), general surgery (GSU), orthopaedics (OU) and intensive care unit (ICU) services of a university hospital was followed up between January and June 2018. To detect the presence of delirium, we used the CAM (Confusion Assessment Method) and the CAM-ICU if the patient had decreased communication skills. The delirium subtype was characterised using the RASS (Richmond Agitation and Sedation Scale). Patients were assessed on their admission date and then every two days until discharged from the hospital. Those in whom delirium was identified were referred for specialised intra-institutional interdisciplinary management. Results: A total of 531 patients admitted during the period were assessed. The overall incidence of delirium was 12% (95% CI, 0.3-14.8). They represented 31.8% of patients in the GU, 15.6% in the ICU, 8.7% in IM, 5.1% in the OU, and 3.9% in the GSU. The most frequent clinical display was the mixed subtype, at 60.9%, followed by the normoactive subtype (34.4%) and the hypoactive subtype (4.7%). The factors most associated with delirium were age (adjusted RR = 1.07; 95% CI, 1.05-1.09), the presence of four or more comorbidities (adjusted RR = 2.04; 95% CI, 1.31-3.20), and being a patient in the ICU (adjusted RR = 2.02; 95% CI, 1.22-3.35). Conclusions: The incidence of delirium is heterogeneous in the different departments of the university hospital. The highest incidence occurred in patients that were admitted to the GU. The mixed subtype was the most frequent one, and the main associated factors were age, the presence of four or more comorbidities, and being an ICU patient.",Article,"Oviedo Lugo, Gabriel Fernando.; Unknown.; Duarte Osorio, Andres.; Rincon, Carlos Javier.; Unknown.; Chavarria, Roberto.; Unknown.; Unknown.; Unknown.; Unknown.; Unknown.; Gomez-Restrepo, Carlos",CAM;CAM ICU;Delirium;Delirium assessment;Delirium subtypes;Geriatric Unit;Incidence,CAM;CAM ICU;Delirium;Delirium assessment;Delirium subtypes;Geriatric Unit;Incidence,Colombia;Colombia;Colombia;;Colombia,
,,,0,2-s2.0-85035026940,2019,Inter-rater Reliability in Videos of Patients With a Suspected Diagnostic of Autism and Child Psychosis,"Introduction: Diagnosing and treating autism and child psychoses is very difficult; these pathologies impact not only the child's life but also the family as a whole. Therefore caution is required when giving a diagnosis with prognostic implications. We use the psychodynamic perspective in order to take into consideration both pathological and healthy diagnostic aspects, and to promote evolutionary potential of each patient. Objective: To determine the inter-rater reliability and to test quantitatively and qualitatively the variables involved in the diagnoses of patients with suspected autism and child psychoses, based upon psychodynamic concepts. Methods: An inter-rater reliability study was carried on, based upon the diagnostic evaluation of videos of patients with suspected autism or child psychoses who attended the diagnostic meeting (observation session) at the Instituto de Ortopedia Infantil Roosevelt. Results: Kappa values were obtained, ranging from.24 to.50, with a reliability force varying from slight to moderate, and κ=.24 for personality organization. This type of diagnosis takes into account both the pathological and healthy aspects which make up personality organization. Finally, limitations and aspects that should be considered in further studies were discussed. Conclusions: The results reinforce the need to evaluate a child with major disorders in an interdisciplinary team, and but a single observer, in order to allow discussion, and debate, and therefore, avoid partial readings of the patient’ s psychological functioning.",Article,"Jordan-Quintero, Martha Isabel.; Ayala-Corredor, Catalina.; Unknown.; Unknown.; Unknown",Autism;Child psychosis;Inter-rater reliability;Interdisciplinary diagnosis,Autism;Child psychosis;Inter-rater reliability;Interdisciplinary diagnosis,Colombia;Colombia;Colombia;Colombia;Colombia;Colombia,
,,,0,2-s2.0-85106231328,2021,"Network of actors involved in the identification, care, and follow-up of unhealthy alcohol use in Primary Care in Colombia","This article explores the structure of the network of actors involved in the care of individuals with unhealthy alcohol use (UAU) at the primary care level in five primary care centers in Colombia between 2017 and 2018. We use the Actor-Network Theory Framework (ANT) which posits that health outcomes are a product of a multitude of relationships between different stakeholders. The article focuses on the network configuration that develops between the actors and its effects on the processes of identification, care, and follow-up of people with UAU. The data come from five care centers that participated in the pilot phase of an implementation research project that seeks to apply evidence-based interventions for the detection and treatment of depression and unhealthy alcohol use. Semi-structured interviews and focus groups were conducted with patients, health and administrative staff, and users from Alcoholics Anonymous. The interviews were transcribed and coded using N-Vivo. The analysis identified the ways in which actors are linked by the community to UAU. The results of this qualitative approach based on ANT present the actors identified in a non-linear network with different dimensions.",Article,"Medina Ch.; Ana Maria.; Torrey, William C.; Unknown.; Uribe, Jose Miguel.; Gomez-Restrepo, Carlos",Alcohol use disorder;Colombia;Mental health;Primary care;Social science,Alcohol use disorder;Colombia;Mental health;Primary care;Social science,Colombia;Colombia;United States,
,,,0,2-s2.0-85120846746,2021,Opinions of Relatives of People with Mental Illness About their Participation in Clinical Decision-Making. A Focus-Group Study,"Background and objectives: Mental illnesses can affect an individual's decision-making capacity, forcing family members to make decisions about treatment. Cultural variations in preferences and degree of participation in care have been reported. The objective was to identify and characterise opinions, preferences concerning participation and decision-making methods regarding treatment among relatives of patients with mental illnesses treated in mental health institutions in Bogotá, Colombia. Methods: A qualitative focus-group study with 37 adult relatives of patients with mental illness seen in two psychiatric clinics and discourse analysis on decision-making based on constructivist grounded theory. Results: Four initial categories consistent with the literature, as well as a new culturally relevant category that emerged, called “companionship”, are presented. The initial deductive categories described are: companionship, tools, method, symptoms and treatment. Specific and exclusive themes were derived that resulted in 31 final emerging subcategories. Family members were seen to want to actively participate in the decision-making process along with the psychiatrist and the patient, but to face some specific difficulties in relation to mental illness making it difficult for them to act as efficient caregivers. A systemic scheme on the interaction of the categories in decision-making is proposed. Conclusions: Family members of individuals with mental illness seek to participate in clinical decision-making with affection, responsibility and intuition, in a collaborative relationship with the psychiatrist and the institution in charge of their treatment.",Article,"de la Espriella, Ricardo.; Gomez-Restrepo, Carlos",Caregivers;Decision-making;Decision-making capacity;Mental illness;Relatives,Caregivers;Decision-making;Decision-making capacity;Mental illness;Relatives,Colombia;Colombia,
,,,0,2-s2.0-85126389652,2022,Oral Health Status of Hospitalised Patients with Mental Disorders: Systematic Review of the Literature,"According to the literature, hospitalised patients with mental disorders have a higher risk of developing cavities and periodontal disease than the general population, associated with the motor difficulty to perform adequate oral hygiene, to the adverse effects caused by drugs for the control of psychiatric symptoms, as well as the lack of oral care and clinical care. The aim was to carry out a systematic review of the literature on the oral health status of hospitalised patients with mental disorders (MD). A systematic search of the literature was carried out in PubMed, according to the PRISMA statement methodology, through the MeSh health descriptors “Dental Caries” and “Mental Disorders” in February 2017. According to the different filters that were applied, 14 articles describing the oral health status were obtained – through the DMF-T index (teeth with cavities, teeth with restorations, missing teeth and teeth with necessary extraction)– of hospitalised patients with MD. The recognition of the importance of oral health by health professionals, carers and family members should be promoted; the oral cavity should be explored to determine the state of health in addition to instructing patients and support personnel in oral hygiene; mental health institutions should establish an intervention programme to eliminate oral infectious sites and then implement a multidisciplinary preventive programme to maintain oral health according to the MD diagnosis.",Review,"Castrillon, Eduardo.; Unknown.; Unknown.; Unknown.; Moreno, Sandra Milena.; Moreno-Gomez, Freddy",Dental health;DMF-T index;Mental disorders;Mental health,Dental health;DMF-T index;Mental disorders;Mental health,Colombia;Colombia,
,,,0,2-s2.0-84937347040,2014,Pain prevalence in patients with and without OSAHS subjected to a polysomnogram: A cross-sectional study,"Background and objectives Sleep disturbances apparently have a negative effect on pain or the appearance of pain itself. This suggests the need to determine whether there could be a relationship between obstructive sleep apnea-hypopnea syndrome (OSAHS) and this phenomenon. The objective of this study was to determine the pain prevalence in a population who underwent polysomnography. Method A cross-sectional study of patients who underwent polisomnography, pain prevalence was measured with Mcgill pain questionnaire. Results Data was obtained from 259 patients, and it was found that 69% suffered pain, and there was a prevalence of 81% OSAHS. Those with OSAHS had a 70% pain prevalence, with 64% for those without OSAHS. Conclusions A high pain prevalence was found this population, possibly related to the characteristic of the population, how the information was gathered, and not controlling for other illnesses related with pain. © 2013 Asociacion Colombiana de Psiquiatria. Publicado por Elsevier Espana, S.L.U. Todoslos derechos reservados.",Article,"Tamayo Martinez, Nathalie.; Hidalgo-Martinez, Patricia.; Gomez-Restrepo, Carlos.; Rodriguez, Nelcy",Cross-sectional study;Obstructive sleep apnea-hypopnea syndrome;Pain,Cross-sectional study;Obstructive sleep apnea-hypopnea syndrome;Pain,Colombia,
,,,0,2-s2.0-85120918357,2021,Passive Trauma,"Introduction: Wives of military personnel in action living on bases located in areas of armed conflict in Colombia before the peace negotiations with the Revolutionary Armed Forces of Colombia (FARC), were first-hand observers of the war, their husbands’ participation in the war and the consequences and effects of the combat in which others participated. Objective: To offer a hypothesis regarding these women's experience of direct trauma and characterise the dimensions of their experience as observers of the suffering of others. Methods: Qualitative study and secondary discourse analysis in intentional snowball sampling of wives of military personnel (officers and chiefs) with whom semi-structured interviews were conducted. Conclusions: Direct trauma is not the sole cause of psychosomatic and psychopathological consequences; the experience of constantly observing the suffering and deaths of others also generates a cumulative effect that can affect physical and mental health. This experience is called passive trauma.",Article,"Garciandia Imaz, Jose Antonio.; Samper Alum, Jeannette",Armed conflict;Family;Passive trauma,Armed conflict;Family;Passive trauma,Colombia;Colombia,
,,,0,2-s2.0-85006219653,2014,Prevention and Treatment of Common Acute Adverse Effects with Antipsychotic Use in Adults with Schizophrenia Diagnosis,"Objective To determine the most adequate strategies for the prevention and treatment of the acute adverse effects of the use of antipsychotics. Methods A clinical practice guideline was elaborated under the parameters of the Methodological Guide of the Ministerio de Salud y Protección Social to identify, synthesize and evaluate the evidence and make recommendations about the treatment and follow-up of adult patients with schizophrenia. A systematic literature search was carried out. The evidence was presented to the Guideline Developing Group and recommendations, employing the GRADE system, were produced. Results The non-pharmacological interventions such as nutritional counseling by a nutritionist, exercise and psychotherapy are effective in preventing weight gain with the use of antipsychotics. (Kg Weight reduction in DM of-3.05 (-4.16,-1.94)). The antipsychotic change from olanzapine to aripiprazole showed weight loss and decreased BMI (decreased weight in KG DM-3.21 (-9.03,-2.61). The use of beta blockers was ineffective in reducing akathisia induced by antipsychotic; using as outcome the 50% reduction of symptoms of akathisia comparing beta-blockers with placebo RR was 1.4 (0.59, 1.83). Conclusion It is recommended to make psychotherapeutic accompaniment and nutrition management of overweight for patients with weight gain. If these alternatives are ineffective is suggested to change the antipsychotic or consider starting metformin. For the management of drug-induced akathisia it is recommended to decrease the dose of the drug and the addition of lorazepam. It is recommended using 5 mg biperiden IM or trihexyphenidyl 5 mg orally in case of secondary acute dystonia and for the treatment of antipsychotic-induced parkinsonism to decrease the dose of antipsychotic or consider using 2-4 mg/day of biperiden or diphenhydramine 50 mg once daily.",Article,"Unknown.; Gomez-Restrepo, Carlos.; Bohorquez-Penaranda, Adriana Patricia.; Unknown.; Unknown.; Unknown.; Unknown",Adverse effects;Antipsychotics;Clinical Practice Guidelines;Follow-up;Schizophrenia,Adverse effects;Antipsychotics;Clinical Practice Guidelines;Follow-up;Schizophrenia,Colombia;Colombia;Colombia;Colombia,
,,,0,2-s2.0-85102761072,2021,Relationship between the sociodemographic characteristics of participants in the DIADA Project and the rate of compliance with follow-up assessments in the initial stage of the intervention,"Objective: Analyse the relationship between the sociodemographic profile of the DIADA study participants and the rate of compliance with the follow-up assessments in the early stage of this project's intervention for depression and unhealthy alcohol use offered within primary care. Methods: A non-experimental quantitative analysis was conducted. The sociodemographic data of DIADA [Detección y Atención Integral de Depresión y Abuso de Alcohol en Atención Primaria (Detection and Integrated Care for Depression and Alcohol Use in Primary Care)] study participants had been previously collected. At the time of the evaluation (September 12, 2019), only the participants who had been in the project for a minimum of three months were included. By using univariate (Chi-squared) analyses, we studied the association between participants’ sociodemographic profile and their rate of compliance with the first follow-up assessment at three months after study initiation. Results: At the date of the evaluation, 584 adult participants were identified, of which 389 had been involved in the project for more than three months. From the participants included, 320 performed the first follow-up, while 69 did not. The compliance rate to the first follow-up was 82.3% (CI 95% 78.1%-86%) and was not affected by: site location, age, sex, civil status, level of education, use of smartphone, PHQ9 score (measuring depression symptomatology) or AUDIT score (measuring harmful alcohol use). Participants who do not use a smartphone, from rural areas and with a lower socioeconomic status, tended to show higher compliance rates. Statistically significant associations were found; participants with lower job stability and a lack of access to the Internet showed higher compliance rates to the early initial follow-up assessment. Conclusions: The compliance rate was high and generally constant in spite of the variability of the sociodemographic profiles of the participants, although several sub-groups of participants showed particularly high rates of compliance. These findings may suggest that integrating mental health into primary care allows the structural and financial barriers that hinder access to health in Colombia to be broken down by raising awareness about mental illnesses, their high prevalence and the importance of timely and accessible medical management.",Article,"Cardenas Charry, Maria Paula.; Unknown.; Uribe, Jose Miguel.; Cepeda, Magda.; Unknown.; Cubillos, Leonardo.; Bartels, S. M.; Castro-Diaz, Sergio.; Marsch, Lisa A.; Gomez-Restrepo, Carlos",Compliance rate;DIADA;Mental health;Quantitative analysis;Sociodemographic profile,Compliance rate;DIADA;Mental health;Quantitative analysis;Sociodemographic profile,Colombia;Colombia;United States,
,,,0,2-s2.0-84937346606,2013,Standards in medical informatics: Fundamentals and applications,"The use of computers in medical practice has enabled novel forms of communication to be developed in health care. The optimization of communication processes is achieved through the use of standards to harmonize the exchange of information and provide a common language for all those involved. This article describes the concept of a standard applied to medical informatics and its importance in the development of various applications, such as computational representation of medical knowledge, disease classification and coding systems, medical literature searches and integration of biological and clinical sciences. © 2012 Asociacióln Colombiana de Psiquiatría. Published by Elsevier España, S.L. All rights reserved.",Article,"Suarez-Obando, Fernando.; Unknown",Information science;Medical informatics;Medical informatics applications,Information science;Medical informatics;Medical informatics applications,Colombia;United States,
,,,0,2-s2.0-85114376492,2021,Subjective Cognitive and Communicative Complaints and Health-Related Quality of Life in Parkinson's Disease with and without Mild Cognitive Impairment,"Introduction: Mild Cognitive Impairment (MCI) is common in Parkinson's Disease (PD). Few studies have compared the Health-Related Quality of Life (HRQoL) in patients with and without MCI due to PD (PD-MCI), and its correlation to patients’ subjective cognitive and communicative difficulties has not been explored. Objective: We aimed to compare HRQoL in PD-MCI and PD without MCI (PD-nMCI), and explore its possible relationship to subjective cognitive and communicative complaints. Methods: We included 29 PD-nMCI and 11 PD-MCI patients. The HRQoL was assessed with the Parkinson's Disease Questionnaire-39 (PDQ-39): its Cognition dimension was used as a measure of subjective cognitive complaints, its Communication dimension for subjective communicative complaints, and the summary index (PDQ-39 SI) as an indicator of HRQoL. Non-parametric partial correlations between the Cognition and Communication dimensions, and the adjusted PDQ-39 SI were conducted. Results: PD-MCI patients had greater subjective cognitive and communicative complaints and worse HRQoL than PD-nMCI patients. In the PD-MCI group, both subjective cognitive and communicative complaints exhibited significant direct correlations with the adjusted HRQoL scores. Conclusions: HRQoL seems to be affected in PD-MCI, and it might be influenced by greater subjective cognitive and communicative complaints. Including patient-reported outcome measures of HRQoL, and providing cognitive and speech rehabilitation, as well as psychotherapeutic strategies to face these deficits can enhance the patient-centred approach in PD.",Article,"Unknown.; Unknown.; Unknown.; Pineda Salazar, David Antonio.; Unknown.; Unknown.; Unknown.; Unknown.; Vasquez, Daniel.; Unknown.; Borda, Miguel German.; Garcia-Cifuentes, Elkin.; Unknown.; Unknown.; Aarsland, Dag.; Unknown",Cognitive decline;Health-related quality of life;Mild cognitive impairment.;Parkinson's disease;Quality of life,Cognitive decline;Health-related quality of life;Mild cognitive impairment.;Parkinson's disease;Quality of life,Norway;Colombia;Colombia;Colombia;Norway;United Kingdom;Colombia,
,,,0,2-s2.0-84994531669,2016,"The Construction of a Mental Health Component for the National Survey: NMHS 2015, Colombia","Introduction Usually, mental health has been defined as the absence of mental disorders. In order to approach this concept in a plain sanitas way, it was considered necessary to crosslink a component for the National Mental Health Survey 2015 (NMHS; ENSM for its acronym in Spanish), that would respond to the specific orientation and particularities of the country. Objective To describe the structure and contents of the mental health component of the NMHS 2015 for the Colombian population over 7 years of age. Methods Review, documentary analysis and discussion regarding the concepts and tools with the team in charge of the NMHS and other groups. Results 353 documents were reviewed, and 180 were analyzed and discussed. The component model is presented, considering the ethic dimension of relationship care as a main element; it merges two inquiry dimensions or categories: subjective-relational, and social-collective. Conclusions The structured mental health component provides information regarding the entire population. It also allows understanding and approaching the concept of mental health as a personal and collective “good life”.",Article,"Unknown.; Torres, Nubia.; Gomez-Restrepo, Carlos.; Matallana, Diana L.; Borda, Juan P.",Mental disorders;Mental health;Social capital,Mental disorders;Mental health;Social capital,Colombia;Colombia,
,,,0,2-s2.0-84937346810,2013,The natural language process and its relationship with mental health research,,Article,"Camacho, Jhon.; Moreno, Socorro.; Suarez-Obando, Fernando.; Unknown.; Gomez-Restrepo, Carlos",,,Colombia;United States;United States,
,,,0,2-s2.0-85109424217,2021,The Semiology of Migration,"Introduction: The phenomenon of migration generates a series of experiences in the human being that are translated into emotions, feelings, adaptation processes, grief and psychopathological processes, and even pathological expressions, represented by clinical pictures of different kinds. Objective: The purpose of this article is to carry out a conceptual and clinical reflection on the semiology around the concept and experience of migration, in order to illustrate the complexity that it entails as a human phenomenon. Methods: A reduced narrative review, circumscribed and restricted to the semiological, psychopathological and clinical aspects of migration. Discussion: The separation, ruptures and losses that derive from migration do not go unnoticed by the individual. They are inscribed in his/her corporality as physiological injuries that affect his/her life and as symbolic injuries that affect his/her existence. Conclusions: Migration supposes a rupture of the totality of being. The context, the perception of others and relationships are cut off from the total unity that is the individual, as if he/she lost half of him/herself.",Review,"Imaz, Jose Antonio Garciandia.; Unknown",Emotions;Migration;Migratory grief;Psycopathological processes,Emotions;Migration;Migratory grief;Psycopathological processes,Colombia,
,,,0,2-s2.0-85143153280,2022,Wenicke's Encephalopathy Due to Hypermesis Gravidarum: A Case Report,"Introduction: Wernicke's encephalopathy is a neuropsychiatric syndrome caused by vitamin B1 deficiency, in most cases it is related to heavy alcohol consumption. This report presents the case of a 29-year-old patient with a 14.4-week pregnancy who was diagnosed with Wernicke's encephalopathy associated with hyperemesis gravidarum, in a patient with a history of dissociative symptoms that had required hospitalization, which made it difficult to making the diagnosis. Main symptoms: The patient presented neuropsychiatric symptoms consistent in disorientation in time and space, failure to recognize her relatives, incoherent language, psychomotor agitation and dissociative symptoms. Main diagnoses, therapeutic interventions and results: Magnetic resonance imaging showed edema of the mammillary bodies and the patient's symptoms began to improve when IM thiamine supplementation was started. Conclusion: Although in most cases Wernicke's encephalopathy is associated with heavy alcohol consumption, it can also appear as a complication of hyperemesis in pregnant women, with high maternal and fetal morbidity and mortality, which warrants early detection and treatment of the condition. In addition, the question arises about the fluctuating presentation of its symptoms and whether these are part of a picture of psychiatric aetiology, or are an additional manifestation of Wernicke's encephalopathy.",Article,"Unknown.; Filizzola Bermudez, Juan David.; Unknown",Behavioral symptoms;Hyperemesis gravidarum;Wernicke's encephalopathy,Behavioral symptoms;Hyperemesis gravidarum;Wernicke's encephalopathy,Colombia;Colombia,
6,PLOS ONE,79,,,,,,,,,,,
,,,170,WOS:000305695100010,2012,The Microbiome of Brazilian Mangrove Sediments as Revealed by Metagenomics,"Here we embark in a deep metagenomic survey that revealed the taxonomic and potential metabolic pathways aspects of mangrove sediment microbiology. The extraction of DNA from sediment samples and the direct application of pyrosequencing resulted in approximately 215 Mb of data from four distinct mangrove areas (BrMgv01 to 04) in Brazil. The taxonomic approaches applied revealed the dominance of Deltaproteobacteria and Gammaproteobacteria in the samples. Paired statistical analysis showed higher proportions of specific taxonomic groups in each dataset. The metabolic reconstruction indicated the possible occurrence of processes modulated by the prevailing conditions found in mangrove sediments. In terms of carbon cycling, the sequences indicated the prevalence of genes involved in the metabolism of methane, formaldehyde, and carbon dioxide. With respect to the nitrogen cycle, evidence for sequences associated with dissimilatory reduction of nitrate, nitrogen immobilization, and denitrification was detected. Sequences related to the production of adenylsulfate, sulfite, and H2S were relevant to the sulphur cycle. These data indicate that the microbial core involved in methane, nitrogen, and sulphur metabolism consists mainly of Burkholderiaceae, Planctomycetaceae, Rhodobacteraceae, and Desulfobacteraceae. Comparison of our data to datasets from soil and sea samples resulted in the allotment of the mangrove sediments between those samples. The results of this study add valuable data about the composition of microbial communities in mangroves and also shed light on possible transformations promoted by microbial organisms in mangrove sediments.",Article,"Andreote, F.D.; Jimenez, D.J.; Chaves, D.; Dias, A.C.F.; Luvizotto, D.M.; Dini-Andreote, F.; Fasanella, C.C.; Lopez, M.V.; Baena, S.; Taketani, R.G.; de Melo, I.S.",,SULFATE-REDUCING BACTERIA;ARCHAEAL COMMUNITIES;DIVERSITY;PRODUCTIVITY;GENERATION;REDUCTION;RESOURCE;GENOMICS;ECOLOGY;SERVER,Brazil;Colombia,2-s2.0-84862665622
,,,133,WOS:000263288200045,2008,Avoiding Costly Conservation Mistakes: The Importance of Defining Actions and Costs in Spatial Priority Setting,"Background: The typical mandate in conservation planning is to identify areas that represent biodiversity targets within the smallest possible area of land or sea, despite the fact that area may be a poor surrogate for the cost of many conservation actions. It is also common for priorities for conservation investment to be identified without regard to the particular conservation action that will be implemented. This demonstrates inadequate problem specification and may lead to inefficiency: the cost of alternative conservation actions can differ throughout a landscape, and may result in dissimilar conservation priorities. Methodology/Principal Findings: We investigate the importance of formulating conservation planning problems with objectives and cost data that relate to specific conservation actions. We identify priority areas in Australia for two alternative conservation actions: land acquisition and stewardship. Our analyses show that using the cost surrogate that most closely reflects the planned conservation action can cut the cost of achieving our biodiversity goals by half. We highlight spatial differences in relative priorities for land acquisition and stewardship in Australia, and provide a simple approach for determining which action should be undertaken where. Conclusions/Significance: Our study shows that a poorly posed conservation problem that fails to pre-specify the planned conservation action and incorporate cost a priori can lead to expensive mistakes. We can be more efficient in achieving conservation goals by clearly specifying our conservation objective and parameterising the problem with economic data that reflects this objective.",Article,"Carwardine, J.; Wilson, K.A.; Watts, M.; Etter, A.; Klein, C.J.; Possingham, H.P.",,CAPE FLORISTIC REGION;BIODIVERSITY HOTSPOT;OPPORTUNITY COSTS;AREAS;IRREPLACEABILITY;PRIORITIZATION;DISTRIBUTIONS;VULNERABILITY;SELECTION;DESIGN,Australia;Colombia,
,,,121,WOS:000308206000061,2012,Land Cover Change in Colombia: Surprising Forest Recovery Trends between 2001 and 2010,"Background: Monitoring land change at multiple spatial scales is essential for identifying hotspots of change, and for developing and implementing policies for conserving biodiversity and habitats. In the high diversity country of Colombia, these types of analyses are difficult because there is no consistent wall-to-wall, multi-temporal dataset for land-use and land-cover change. Methodology/Principal Findings: To address this problem, we mapped annual land-use and land-cover from 2001 to 2010 in Colombia using MODIS (250 m) products coupled with reference data from high spatial resolution imagery (QuickBird) in Google Earth. We used QuickBird imagery to visually interpret percent cover of eight land cover classes used for classifier training and accuracy assessment. Based on these maps we evaluated land cover change at four spatial scales country, biome, ecoregion, and municipality. Of the 1,117 municipalities, 820 had a net gain in woody vegetation (28,092 km(2)) while 264 had a net loss (11,129 km(2)), which resulted in a net gain of 16,963 km(2) in woody vegetation at the national scale. Woody regrowth mainly occurred in areas previously classified as mixed woody/plantation rather than agriculture/herbaceous. The majority of this gain occurred in the Moist Forest biome, within the montane forest ecoregions, while the greatest loss of woody vegetation occurred in the Llanos and Apure-Villavicencio ecoregions. Conclusions: The unexpected forest recovery trend, particularly in the Andes, provides an opportunity to expand current protected areas and to promote habitat connectivity. Furthermore, ecoregions with intense land conversion (e.g. Northern Andean Paramo) and ecoregions under-represented in the protected area network (e.g. Llanos, Apure-Villavicencio Dry forest, and Magdalena-Uraba Moist forest ecoregions) should be considered for new protected areas.",Article,"Sanchez-Cuervo, A.M.; Aide, T.M.; Clark, M.L.; Etter, A.",,DEFORESTATION;MIGRATION;PATTERNS;MODIS;GLOBALIZATION;BIODIVERSITY;ECOREGIONS;DRIVERS,United States;Colombia,2-s2.0-84865590370
