Pos.,Topic AuthorKeywords,Total,Cited by,EID,Year,Title,Abstract,Document type,Authors,Author keywords,Both keywords,Country,EID2
,,,12,WOS:000355771700004,2015,Burden of Epilepsy in Colombia,"Background: Epilepsy lays an important burden on health-care systems and society in general. Disability adjusted life years (DALYs) have been developed to compare the burden of this disease both between conditions and between geographical boundaries. With improving data on disease incidence and prevalence in Colombia, we can refine our DALYs-based estimates. Methods: Using different strategies, including the official healthcare provision database and death certificates, as well as extrapolation from published neuroepidemiologic studies, we estimated the incidence and prevalence by age groups, disease duration and attributable mortality. With this information we calculated DALYs for the year 2012. Results: Overall, it was found that epilepsy was responsible for 0.88% of all deaths in Colombia. A total of 5.25 DALYs per 1,000 person-years are lost due to epilepsy in Colombia, 75% of which (3.91 DALYs) are due to premature mortality, with a higher burden in men (6.12 DALYs) than in women (4.41 DALYs). Conclusions: We reported new estimations on epilepsy incidence and prevalence by age groups in Colombia and conclude that DALYs lost due to epilepsy in Colombia are almost double the previous figure, mostly because of the underestimation of attributable mortality. With this figure, epilepsy ranks 12th instead of 19th in the list of the most important causes of DALYs lost. (C) 2015 S. Karger AG, Basel",Article,"Mendez-Ayala, A.; Narino, D.; Rosselli, D.",Epilepsy; Burden of disease; Incidence; Prevalence; Mortality; Mortality rate; Colombia; Developing countries; Administrative data,Epilepsy;Burden of disease;Incidence;Prevalence;Mortality;Mortality rate;Colombia;Developing countries;Administrative data;COUNTRIES;DISEASE;COHORT,Colombia,2-s2.0-84928103904
,,,10,WOS:000356650300001,2015,The public health impact of economic fluctuations in a Latin American country: mortality and the business cycle in Colombia in the period 1980-2010,"Introduction: Studies in high-income countries suggest that mortality is related to economic cycles, but few studies have examined how fluctuations in the economy influence mortality in low-and middle-income countries. We exploit regional variations in gross domestic product per capita (GDPpc) over the period 1980-2010 in Colombia to examine how changes in economic output relate to adult mortality. Methods: Data on the number of annual deaths at ages 20 years and older (n = 3,506,600) from mortality registries, disaggregated by age groups, sex and region, were linked to population counts for the period 1980-2010. We used region fixed effect models to examine whether changes in regional GDPpc were associated with changes in mortality. We carried out separate analyses for the periods 1980-1995 and 2000-2010 as well as by sex, distinguishing three age groups: 20-44 (predominantly young working adults), 45-64 (middle aged working adults), and 65+ (senior, predominantly retired individuals). Results: The association between regional economic conditions and mortality varied by period and age groups. From 1980 to 1995, increases in GDPpc were unrelated to mortality at ages 20 to 64, but they were associated with reductions in mortality for senior men. In contrast, from 2000 to 2010, changes in GDPpc were not associated with old age mortality, while an increase in GDPpc was associated with a decline in mortality at ages 20-44 years. Analyses restricted to regions with high registration coverage yielded similar albeit less precise estimates for most sub-groups. Conclusions: The relationship between business cycles and mortality varied by period and age in Colombia. Most notably, mortality shifted from being acyclical to being countercyclical for males aged 20-44, while it shifted from being countercyclical to being acyclical for males aged 65+.",Article,"Arroyave, I.; Hessel, P.; Burdorf, A.; Rodriguez-Garcia, J.; Cardona, D.; Avendano, M.",Mortality; Economic recession; Colombia; Developing countries; Health insurance,Mortality;Economic recession;Colombia;Developing countries;Health insurance;RECESSIONS GOOD;CYCLICALITY;INSURANCE;TIMES,Netherlands;Colombia;United Kingdom;United States,2-s2.0-84935037376
,,,9,WOS:000234451600014,2006,A Colombian survey found intensive care mortality ratios were better in private vs. public hospitals,"Background: Our main outcome was to identify organizational characteristics that help to evaluate the differences between the intensive care mortality ratios adjusted by APACHE II. We incorporated the variation associated with the ranking of institutions simulating its random effects under a binomial distribution. Methods: A nationwide survey on structure, technology, and staffing resources available in Colombian intensive care units during 1997-1998 was conducted. We collected data on admissions from 20 randomly selected adult medical and surgical intensive care units. Results: The mortality ratio from the 20 intensive care units ranged from 0.59 to 2.36; 80% of the intensive care units had a mortality ratio greater than 1. All four intensive care units with the lowest mortality ratio belonged to private institutions, while four of five institutions with the highest mortality belonged to the public sector. Intensive care units in private institutions also had fewer number of beds, lower median length of stay, lower occupancy rates, higher education training for specialists and nurses and fewer emergency nonelective surgical procedures. Conclusion: We successfully accounted for intensive care mortality baseline differences and random effects variations. There were substantial differences between intensive care units in institution type, bed availability, technology, staffing resources, and degree of training, which may have been associated with patient outcome. These results are of crucial importance to track, detect and assess future changes. (c) 2006 Elsevier Inc. All rights reserved.",Article,"Perez, A.; Dennis, R.J.; Rondon, M.A.; Metcalfe, M.A.; Rowan, K.M.",evaluation; research; Colombia; APACHE; ranking; league tables; mortality,evaluation;research;Colombia;APACHE;ranking;league tables;mortality;SOCIETY APACHE-II;STATISTICAL ISSUES;CASE-MIX;UNITS;PERFORMANCE;OUTCOMES;IRELAND;BRITAIN;IMPACT,Colombia;United States;United Kingdom,2-s2.0-29144474416
,,,9,WOS:000550178700021,2020,Nutritional risk is associated with an increase of in-hospital mortality and a reduction of being discharged home: Results of the 2009-2015 nutritionDay survey,"Background: Disease-related malnutrition is a known factor for poor outcomes. However, there is a lack of knowledge about the prevalence and the impact of nutritional risk on outcomes in Colombia. The aim of the present study was to determine the prevalence of nutritional risk, to know how nutrition screening is routinely performed and to determine the impact of nutritional risk on the outcomes of in-hospital mortality and being discharged home outcomes. Methods: We conducted a descriptive analysis of selected data from 7 consecutive, annual, and crosssectional nutritionDay samples (2009-2015) including a total of 7,994 adult patients in 248 units in Colombia. Data is contrasted with the Latin American and worldwide results. The prevalence of nutritional risk was determined according to the malnutrition screening tool (MST). The impact of nutritional risk in Colombian patients regarding outcomes was assessed by a Fine and Gray competing risk regression model controlling for PANDORA score (age, BMI, length of stay before nutritionDay, cancer diagnosis, and mobility). Results: The prevalence of nutritional risk (MST score >= 2) in Colombia was 38%, 41% in Latin America, and 32% worldwide. Half of the Colombian units screened patients for malnutrition or nutritional risk on admission to hospital, compared to 80% in Latin America and 62% worldwide. Only 23% of the Colombian patients identified as being at nutritional risk in the nutritionDay survey received any nutritional therapy. The hospital mortality hazard ratio of Colombian patients at nutritional risk defined by MST was 1.94 (95% CI, 1.53,2.46; p < 0.001) and 0.82 of being discharged home (95% CI, 0.76,0.88, p < 0.001). Conclusions: This is the first large-scale study in Colombia evaluating the impact of nutritional risk on clinical outcomes showing an increase of in-hospital mortality and a reduction of being discharged home. Moreover, the study shows that nutritional risk is still highly prevalent worldwide implying the need to promote an optimal nutritional care. The participation of Latin American countries in the nutritionDay survey is an opportunity to increase knowledge and awareness of these issues. (C) 2020 European Society for Clinical Nutrition and Metabolism. Published by Elsevier Ltd. All rights reserved.",Article,"Cardenas, D.; Bermudez, C.; Perez, A.; Diaz, G.; Cortes, L.Y.; Contreras, C.P.; Pinzon-Espitia, O.L.; Gomez, G.; Gonzalez, M.C.; Fantin, R.; Gutierre, J.; Sulz, I.; Moick, S.; Tarantino, S.; Hiesmayr, M.",Longitudinal study; Nutritional risk; Mortality; NutritionDay,Longitudinal study;Nutritional risk;Mortality;NutritionDay;PROSPECTIVE COHORT;OLDER-ADULTS;FOOD-INTAKE;MALNUTRITION;IMPACT;SUPPORT;HEALTH;STAY;CARE,Colombia;Brazil;Costa Rica;El Salvador;Austria,2-s2.0-85086915916
,,,7,WOS:000271303500004,2009,Impact of Preventive Treatment With Long-Acting beta(2)-Adrenergic Agonists and Inhaled Corticosteroids on the Morbidity and Mortality of Severe Asthma Exacerbations in 1543 Patients,"Background and Objectives: Recent systematic reviews and meta-analyses examining long-acting #b(2)-adrenergic agonists (LABA) as maintenance treatment for asthma have shown surprisingly conflicting results. The aim of the present study was to determine the impact, in terms of efficacy and safety, of previous maintenance treatment on severe asthma exacerbations. Patients and Methods: We retrospectively evaluated the clinical characteristics of exacerbations experienced by 1543 patients with moderate persistent and severe persistent asthma. Drug therapy was as follows: a combination of inhaled LABAs and corticosteroids (493 patients), an inhaled corticosteroid only (456 patients), and no maintenance treatment (594 patients). Results: Asthmatic patients taking LABAs did not show higher mortality, longer stay in the intensive care unit, longer hospital stay, lower pH, or worse airflow obstruction than the other 2 groups. On the contrary, they had a higher mean (SD) forced expiratory volume in 1 second at discharge (54% [16%]) than patients taking inhaled corticosteroids (48% [19%]) and patients taking no maintenance treatment (48% [20%]) (P=.009). Patients taking no maintenance treatment also had lower mean (SD) pH values (7.37 [0.11]) than patients taking LABAs (7.39 [0.09]) and patients taking inhaled corticosteroids (7.39 [0.08]) (P=.002), and more admissions to the intensive care unit (11.1% vs 6.5% and 7.7%: P=.002 and P=.018, respectively). Conclusions: This study did not reveal higher morbidity or mortality in severe asthma exacerbations in patients with moderate persistent or severe persistent asthma who had received inhaled LABAs combined with inhaled corticosteroids. On, the contrary, asthma patients who did not use maintenance treatment experienced more severe asthma exacerbations. (C) 2009 SEPAR. Published by Elsevier Espana, S.L. All rights reserved.",Article,"Plaza, V.; Bellido-Casado, J.; Rodrigo, G.J.; Solarte, J.; Rodriguez-Trigo, G.; Sepulveda, R.; Neffen, H.; Perpina, M.",Asthma; Morbidity; Mortality; Severe asthma exacerbation; Preventive treatment of asthma; Inhaled corticosteroids; Inhaled long-acting #b(2)-agonists,Asthma;Morbidity;Mortality;Severe asthma exacerbation;Preventive treatment of asthma;Inhaled corticosteroids;Inhaled long-acting #b(2)-agonists;BETA-AGONISTS;PRESCRIBED FENOTEROL;SAFETY;SALMETEROL;DEATH;SALBUTAMOL;FORMOTEROL;ZEALAND;RISK,Spain;Uruguay;Colombia;Chile;Argentina,2-s2.0-70350028207
,,,6,WOS:000577931400001,2020,A multi-country study of prevalence and early childhood mortality among children with omphalocele,"Background Omphalocele is the second most common abdominal birth defect and often occurs with other structural and genetic defects. The objective of this study was to determine omphalocele prevalence, time trends, and mortality during early childhood, by geographical region, and the presence of associated anomalies. Methods We conducted a retrospective study with 23 birth defect surveillance systems in 18 countries who are members of the International Clearinghouse for Birth Defects Surveillance and Research that submitted data on cases ascertained from 2000 through 2012, approximately 16 million pregnancies were surveyed that resulted in live births, stillbirths, or elective terminations of pregnancy for fetal anomalies (ETOPFA) and cases with omphalocele were included. Overall prevalence and mortality rates for specific ages were calculated (day of birth, neonatal, infant, and early childhood). We used Kaplan-Meier estimates with 95% confidence intervals (CI) to calculate cumulative mortality and joinpoint regression for time trend analyses. Results The prevalence of omphalocele was 2.6 per 10,000 births (95% CI: 2.5, 2.7) and showed no temporal change from 2000-2012 (average annual percent change = -0.19%,p= .52). The overall mortality rate was 32.1% (95% CI: 30.2, 34.0). Most deaths occurred during the neonatal period and among children with multiple anomalies or syndromic omphalocele. Prevalence and mortality varied by registry type (e.g., hospital- vs. population-based) and inclusion or exclusion of ETOPFA. Conclusions The prevalence of omphalocele showed no temporal change from 2000-2012. Approximately one-third of children with omphalocele did not survive early childhood with most deaths occurring in the neonatal period.",Article,"Nembhard, W.N.; Bergman, J.E.H.; Politis, M.D.; Arteaga-Vazquez, J.; Bermejo-Sanchez, E.; Canfield, M.A.; Cragan, J.D.; Dastgiri, S.; de Walle, H.E.K.; Feldkamp, M.L.; Nance, A.; Gatt, M.; Groisman, B.; Hurtado-Villa, P.; Kallen, K.; Landau, D.; Lelong, N.; Lopez-Camelo, J.; Martinez, L.; Morgan, M.; Pierini, A.; Rissmann, A.; Sipek, A.; Szabova, E.; Tagliabue, G.; Wertelecki, W.; Zarante, I.; Bakker, M.K.; Kancherla, V.; Mastroiacovo, P.",mortality; omphalocele; prevalence; registry; surveillance,mortality;omphalocele;prevalence;registry;surveillance;ABDOMINAL-WALL DEFECTS;MAJOR BIRTH-DEFECTS;CONGENITAL-MALFORMATIONS;UNITED-STATES;PRENATAL-DIAGNOSIS;GIANT OMPHALOCELES;HOSPITAL OUTCOMES;RISK-FACTOR;GASTROSCHISIS;INFANTS,United States;Netherlands;Mexico;Spain;Iran;Malta;Argentina;Colombia;Sweden;Israel;France;United Kingdom;Italy;Germany;Czech Republic;Slovakia;Ukraine,2-s2.0-85092565490
,,,6,WOS:000451096800003,2017,Overall survival of cancer patients in the Colombian National Cancer Institute,"Objective: To provide estimates of 2-year overall cancer survival for stomach, breast (women only), cervical, and colorectal cancers in the Colombian National Cancer Institute (INC). Methods: A survival analysis was performed on data from patients with invasive stomach cancer (SC), breast cancer (BC), cervical cancer (CC), and colorectal cancer (CRC) treated in the INC in the year 2012. Data were taken from the hospital cancer register and the deaths register from the INC and government sources. Frequencies and measures of central tendency and dispersion were calculated. The overall survival at two years from the date of admission was estimated using Kaplan-Meier methods and was compared using the Log-rank Test. Results: A total of 1,793 cancer cases were analysed. The estimated survival at two years for the 2012 cohort was 29.4% (95% CI 24.9 -33.9) for SC; 80.8% (95% CI: 77.9 -83.7) for BC; 62.3% (95% CI: 57.0 -67.6) for CC, and 54.1% (95% CI 49.0 -59.2) for CRC. The median survival time could only be determined for SC, and was 9.6 months. Conclusions: Two year survival at INC was highest for BC, and very low for SC, and were within expectations compared to the literature. These data provide a reference on the prognosis for these cancers in Colombia, and as a baseline for monitoring overall cancer survival. The trends in survival over time may indicate advances in care. (C) 2017 Institut Nacional de Cancerologia. Published by Elsevier Espana, S.L.U. All rights reserved.",Article,"Pardo, C.; de Vries, E.",Neoplasm; survival; Hospital-based registry; Mortality; Surveillance; Colombia,Neoplasm;survival;Hospital-based registry;Mortality;Surveillance;Colombia;BREAST-CANCER;CERVICAL-CANCER;CALI;RADIOTHERAPY,Colombia,
,,,5,WOS:000338200200004,2013,Behavior of hipertensive renal diseases in Mexico between 1998-2009. A growing problem,"Introduction: High blood pressure (HBP) is a risk factor for chronic diseases. Worldwide, 20-25% of adults have hypertension, with 70% of them living in developing countries. Hypertensive renal disease (HRD) is a complication of insufficiently controlled hypertension. This study aims to analyze the behavior of HRD mortality in Mexico between 1998 and 2009. Methods: Longitudinal study with secondary analysis of HRD records from the databases provided by INEGI, which analyzes the specific rates by age and sex and standardized mortality ratio (SMR) by states and regions. Georeferencing methods are used statewide. Results: In Mexico from 1998 to 2009 there were 48,823 deaths from HRD. The standardized mortality rate rose from 3.35/100,000 inhabitants to 6.74 (p < 0.01). The specific rates by age and sex showed an increase in incidence after 50 years of age. States with higher SMR by HDR were DF, Estado de Mexico, Morelos, Jalisco, and Colima. Conclusions: HRD is a major microvascular complication of hypertension and its prevalence is increasing. We should strengthen the processes of early detection, care, and appropriate follow-up of people with hypertension to control this potentially preventable complication.",Article,"Hernandez, J.M.R.; Najera, R.G.; Hernandez, C.A.",Chronic kidney disease; Hypertension; Chronic diseases; Mortality; Mexico,Chronic kidney disease;Hypertension;Chronic diseases;Mortality;Mexico;ESSENTIAL-HYPERTENSION;KIDNEY-DISEASE;PREVENTION,Colombia;Mexico,2-s2.0-84880225934
,,,5,WOS:000432368900010,2018,"Re-emergence of educational inequalities in cervical cancer mortality, Colombia 1998-2015","Aim of the study: To perform an in-depth evaluation of the trends and recent levels of inequalities in cervical cancer mortality in Colombia. Methods: Using Colombian national mortality statistics, we calculated age-standardized mortality rates (ASMR) as well as age-specific rates per 100,000 person-years, applying redistribution factors according to international recommendations. We imputed missing data for educational level. Multivariate Poisson regression models were constructed to incorporate age and educational level as independent variables. To assess changes in educational inequalities, we estimated the Relative Index of Inequality (RII). All estimates were also evaluated over time, resulting in estimated annual percent changes (EAPC). Results: Over time, cervical cancer mortality declined rapidly up to 2013 (EAPC = - 5.4%, ASMR 27.2 in 1998, 12.5 in 2013), after which ASMR stabilized. This pattern was present in all but the youngest age group and in all educational levels, but much stronger initial declines were observed among women with tertiary education (EAPC = - 8.3%) compared with those with primary (EAPC = - 4.0%) and secondary (EAPC = - 3.4%) educational levels. The overall RII was 6.77 (95%CI: 6.15, 7.47), varying from 3.5 for women aged 65 and over, to 8.5 in women aged 25-44. Significant increases in inequality were observed for middle-aged (EAPC = + 2.9%) and young (EAPC = + 2.4%). Conclusion: Cervical cancer mortality rates were highest at older ages, but inequalities are concentrated in the younger age groups - and increasing. Considering the recent stagnations in improvement in cervical cancer mortality as well as it inequalities, public policies addressed to reduce cervical cancer mortality are recently failing.",Article,"de Vries, E.; Arroyave, I.; Pardo, C.",Cervical cancer; Mortality; Trends; Inequalities; Education; Colombia,Cervical cancer;Mortality;Trends;Inequalities;Education;Colombia;DISPARITIES;ACCESS;WOMEN,Colombia,2-s2.0-85044678549
,,,4,WOS:000668607900001,2021,Impact of COVID-19 Infection on Patients with Cancer: Experience in a Latin American Country: The ACHOCC-19 Study,"Introduction The ACHOCC-19 study was performed to characterize COVID-19 infection in a Colombian oncological population. Methodology Analytical cohort study of patients with cancer and COVID-19 infection in Colombia. From April 1 to October 31, 2020. Demographic and clinical variables related to cancer and COVID-19 infection were collected. The primary outcome was 30-day mortality from all causes. The association between the outcome and the prognostic variables was analyzed using logistic regression models and survival analysis with Cox regression. Results The study included 742 patients; 72% were >51 years. The most prevalent neoplasms were breast (132, 17.77%), colorectal (92, 12.34%), and prostate (81, 10.9%). Two hundred twenty (29.6%) patients were asymptomatic and 96 (26.3%) died. In the bivariate descriptive analysis, higher mortality occurred in patients who were >70 years, patients with lung cancer, >= 2 comorbidities, former smokers, receiving antibiotics, corticosteroids, and anticoagulants, residents of rural areas, low socioeconomic status, and increased acute-phase reactants. In the logistic regression analysis, higher mortality was associated with Eastern Cooperative Oncology Group performance status (ECOG PS) 3 (odds ratio [OR] 28.67; 95% confidence interval [CI], 8.2-99.6); ECOG PS 4 (OR 20.89; 95% CI, 3.36-129.7); two complications from COVID-19 (OR 5.3; 95% CI, 1.50-18.1); and cancer in progression (OR 2.08; 95% CI, 1.01-4.27). In the Cox regression analysis, the statistically significant hazard ratios (HR) were metastatic disease (HR 1.58; 95% CI, 1.16-2.16), cancer in progression (HR 1.08; 95% CI, 1.24-2.61) cancer in partial response (HR 0.31; 95% CI, 0.11-0.88), use of steroids (HR 1.44; 95% CI, 1.01-2.06), and use of antibiotics (HR 2.11; 95% CI, 1.47-2.95). Conclusion In our study, patients with cancer have higher mortality due to COVID-19 infection if they have active cancer, metastatic or progressive cancer, ECOG PS >2, and low socioeconomic status. Implications for Practice This study's findings raise the need to carefully evaluate patients with metastatic cancer, in progression, and with impaired Eastern Cooperative Oncology Group status to define the relevance of cancer treatment during the pandemic, consider the risk/benefit of the interventions, and establish clear and complete communication with the patients and their families about the risk of complications. There is also the importance of offering additional support to patients with low income and residence in rural areas so that they can have more support during cancer treatment.",Article,"Ospina, A.V.; Bruges, R.; Mantilla, W.; Triana, I.; Ramos, P.; Aruachan, S.; Quiroga, A.; Munevar, I.; Ortiz, J.; Llinas, N.; Pinilla, P.; Vargas, H.; Idrobo, H.; Russi, A.; Kopp, R.M.; Rivas, G.; Gonzalez, H.; Santa, D.; Insuasty, J.; Bernal, L.; Otero, J.; Vargas, C.; Pacheco, J.; Alcala, C.; Jimenez, P.; Lombana, M.; Contreras, F.; Segovia, J.; Pino, L.; Lobaton, J.; Gonzalez, M.; Cuello, J.; Bogoya, J.; Barrero, A.; Lopes, G.D.",COVID-19; Cancer; Survival; Mortality; Latin American country; Colombia,COVID-19;Cancer;Survival;Mortality;Latin American country;Colombia,Colombia;United States,2-s2.0-85109073740
,,,4,2-s2.0-84955261057,2015,Mortality in patients with potentially severe trauma in a tertiary care hospital emergency department and evaluation of risk prediction with the GAP prognostic scale,"Objective. To assess mortality in patients with potentially severe injuries and explore the correlation between mortality and the score on the GAP scale (Glasgow Coma Scale, age, and systolic blood pressure). Methods. Retrospective observational study of all patients with potentially severe injuries treated in an emergency department (ED) over a period of 15 months. We recorded epidemiologic variables, cause of injury, type of transport, need for prehospital orotracheal intubation, substance abuse, Charlson Comorbidity Index (CCI), variables for the GAP prognostic score, destination on discharge from the ED and at the end of the episode, and mortality. Results. Data for 864 patients entered the final analysis. Mortality was higher in older patients (mean [SD] age, 57.9 [26.6] vs 41.1 [17.4], P<.05) and those with a higher mean CCI (3.3 [2.9] vs 0.9 [1.7]). Accident type was a precipitating factor associated with mortality (P<.001), but substance abuse was unrelated. Patients who died had lower mean Glasgow scores (9.1 [5.3] vs 14.8 [1.2], P<.001) and lower mean systolic and diastolic pressures (respectively, 113.8 [19.8] vs 131.3 [20.7] mm Hg, P=.012, and 60.1 [16.8] vs 77.7 [11.7] mm Hg, P=.002). Patients who died also had lower mean GAP scores than survivors (15.1 [4.8] vs 22.6 [1.7], P<.001). Risk factors that remained significant in the multivariate analysis were CCI (odds ratio [OR], 0.704; 95% CI, 0.52-0.96) and GAP score (OR, 1.8; 95% CI, 1.45-2.20). Conclusions. Mortality in our patient series was lower than rates in previously published reports. The GAP score was a useful tool for predicting mortality in the series we studied.",Article,"Martin Quiros, Alejandro.; Unknown.; Unknown.; Unknown.; Unknown.; Unknown.; Unknown",Emergency department;Injuries;Mortality;Trauma severity indices;Wounds,Emergency department;Injuries;Mortality;Trauma severity indices;Wounds,Colombia;Spain;Spain,
,,,3,WOS:000305923600012,2012,"Demographics, morbidity, and mortality febrile neutropenic adult patients treated with cefepime","Introduction: Cefepime efficacy for treatment of febrile neutropenia (FN) in cancer adult patients is a controversial issue. Objective: To describe the demographic characteristics and general mortality of patients suffering from febrile neutropenia treated with cefepime in a fourth-level Latin American hospital. Patients and Methods: A cross-sectional observational study was performed. Study settled at San Ignacio of Bogota, Colombia. University Hospital from January 2004 to December 2008. Results: A total of 333 patients were treated with cefepime, of whom 125 had suffered FN and met pre established inclusion and exclusion criteria. The general mortality was 14.4%, which was similar to the overall mortality in FN in other reports. Conclusions: Although there is still no clarity regarding the efficacy of cefepime in FN, its use has not been restricted. This study did not identify an excess risk of mortality in patients treated with cefepime.",Article,"Puentes, G.A.; Quiroga, C.; Alvarez, C.A.; Tamara, J.R.; Ruiz, A.",neutropenia; mortality; cefepime; cephalosporins,neutropenia;mortality;cefepime;cephalosporins;BLOOD-STREAM INFECTIONS;INTENSIVE-CARE-UNIT;CANCER-PATIENTS;HEMATOLOGICAL MALIGNANCIES;ANTIMICROBIAL AGENTS;IMIPENEM-CILASTATIN;EMPIRICAL-TREATMENT;METAANALYSIS;BACTEREMIA;EFFICACY,Colombia,2-s2.0-84864805820
,,,3,WOS:000387478800004,2016,"Geographic distribution of perinatal mortality due to congenital malformations in Colombia, 1999-2008: An analysis of vital statistics data","Introduction: During 2012, 13% of the deaths worldwide in children under the age of 28 days were due to congenital malformations. In Colombia, congenital malformations are the second leading cause of infant mortality. Objective: To determine the geographical distribution of extended perinatal mortality due to congenital malformations in Colombia between 1999 and 2008. Materials and methods: We conducted a cross-sectional study. We revised all death certificates issued between 1999 and 2008. We defined perinatal mortality as fetal or non-fetal deaths within the first 28 days after delivery in children with body weight >= 500 grams, and congenital malformations according to ICD-10 diagnostic codes Q000 - Q999. The annual birth projection was used as the denominator. We defined high mortality areas due to congenital malformations as those in the 90th percentile. Results: We recorded 22,361 perinatal deaths due to congenital malformations. The following provinces exceeded the 90th perinatal mortality percentile: Antioquia, Caldas, Risaralda, Huila, Quindio, Bogota, Valle del Cauca and Guainla. Among the municipalities, the highest perinatal mortality rates were found in Giraldo, Ciudad Bolivar, Riosucio, Liborina, Supia, Alejandria, Sopetran, San Jeronimo, Santa Fe de Antioquia and Marmato (205.81 and 74.18 per 10.000 live births). The perinatal mortality rate due to malformations of the circulatory system was 28.1 per 10.000 live births, whereas the rates for central nervous system defects and chromosomal abnormalities were 13.7 and 7.0, respectively. Conclusions: The Andean region showed high perinatal mortality rates due to congenital malformations. There is an urgent need to identify possible risk factors of perinatal mortality and implement successive prevention programs in that particular region.",Article,"Misnaza, S.P.; Roncancio, C.P.; Pena, I.C.; Prieto, F.E.",Congenital abnormalities; mortality; fetal mortality; infant mortality; vital statistics; Colombia,Congenital abnormalities;mortality;fetal mortality;infant mortality;vital statistics;Colombia;HEART-DISEASE;MATERNAL AGE;INFANT-MORTALITY;BIRTH-DEFECTS;UNITED-STATES;FOLIC-ACID;RISK;PREGNANCY;ANOMALIES;NEWBORNS,Colombia,2-s2.0-84999114931
,,,3,WOS:000368222000004,2015,Mortality in patients with potentially severe trauma in a tertiary care hospital emergency department and evaluation of risk prediction with the GAP prognostic scale,"Objective. To assess mortality in patients with potentially severe injuries and explore the correlation between mortality and the score on the GAP scale (Glasgow Coma Scale, age, and systolic blood pressure). Methods. Retrospective observational study of all patients with potentially severe injuries treated in an emergency department (ED) over a period of 15 months. We recorded epidemiologic variables, cause of injury, type of transport, need for prehospital orotracheal intubation, substance abuse, Charlson Comorbidity Index (CCI), variables for the GAP prognostic score, destination on discharge from the ED and at the end of the episode, and mortality. Results. Data for 864 patients entered the final analysis. Mortality was higher in older patients (mean [SD] age, 57.9 [26.6] vs 41.1 [17.4], P<.05) and those with a higher mean CCI (3.3 [2.9] vs 0.9 [1.7]). Accident type was a precipitating factor associated with mortality (P<.001), but substance abuse was unrelated. Patients who died had lower mean Glasgow scores (9.1 [5.3] vs 14.8 [1.2], P<.001) and lower mean systolic and diastolic pressures (respectively, 113.8 [19.8] vs 131.3 [20.7] mm Hg, P=.012, and 60.1 [16.8] vs 77.7 [11.7] mm Hg, P=.002). Patients who died also had lower mean GAP scores than survivors (15.1 [4.8] vs 22.6 [1.7], P<.001). Risk factors that remained significant in the multivariate analysis were CCI (odds ratio [OR], 0.704; 95% Cl, 0.52-0.96) and GAP score (OR, 1.8; 95% Cl, 1.45-2.20). Conclusions. Mortality in our patient series was lower than rates in previously published reports. The GAP score was a useful tool for predicting mortality in the series we studied.",Article,"Quiros, A.M.; Perez, A.B.; Fernandez, A.P.; Perilla, P.P.; Nunez, A.R.; Virto, A.M.M.; Diaz, M.Q.",Trauma severity indices; Wounds; Injuries; Mortality; Emergency department,Trauma severity indices;Wounds;Injuries;Mortality;Emergency department;GLASGOW COMA SCALE;SCORE;AGE,Spain;Colombia,
,,,3,WOS:000630066500001,2021,Survival of infants born with esophageal atresia among 24 international birth defects surveillance programs,"Background Esophageal atresia (EA) affects around 2.3-2.6 per 10,000 births world-wide. Infants born with this condition require surgical correction soon after birth. Most survival studies of infants with EA are locally or regionally based. We aimed to describe survival across multiple world regions. Methods We included infants diagnosed with EA between 1980 and 2015 from 24 birth defects surveillance programs that are members of the International Clearinghouse for Birth Defects Surveillance and Research. We calculated survival as the proportion of liveborn infants alive at 1 month, 1- and 5-years, among all infants with EA, those with isolated EA, those with EA and additional anomalies or EA and a chromosomal anomaly or genetic syndrome. We also investigated trends in survival over the decades, 1980s-2010s. Results We included 6,466 liveborn infants with EA. Survival was 89.4% (95% CI 88.1-90.5) at 1-month, 84.5% (95% CI 83.0-85.9) at 1-year and 82.7% (95% CI 81.2-84.2) at 5-years. One-month survival for infants with isolated EA (97.1%) was higher than for infants with additional anomalies (89.7%) or infants with chromosomal or genetic syndrome diagnoses (57.3%) with little change at 1- and 5-years. Survival at 1 month improved from the 1980s to the 2010s, by 6.5% for infants with isolated EA and by 21.5% for infants with EA and additional anomalies. Conclusions Almost all infants with isolated EA survived to 5 years. Mortality was higher for infants with EA and an additional anomaly, including chromosomal or genetic syndromes. Survival improved from the 1980s, particularly for those with additional anomalies.",Article,"Bell, J.C.; Baynam, G.; Bergman, J.E.H.; Bermejo-Sanchez, E.; Botto, L.D.; Canfield, M.A.; Dastgiri, S.; Gatt, M.; Groisman, B.; Hurtado-Villa, P.; Kallen, K.; Khoshnood, B.; Konrad, V.; Landau, D.; Lopez-Camelo, J.S.; Martinez, L.; Morgan, M.; Mutchinick, O.M.; Nance, A.E.; Nembhard, W.; Pierini, A.; Rissmann, A.; Shan, X.Y.; Sipek, A.; Szabova, E.; Tagliabue, G.; Yevtushok, L.S.; Zarante, I.; Nassar, N.",congenital anomalies; esophageal atresia; infant; mortality; survival,congenital anomalies;esophageal atresia;infant;mortality;survival,Australia;Netherlands;Spain;United States;Iran;Malta;Argentina;Colombia;Sweden;France;Israel;Mexico;United Kingdom;Italy;Germany;Czech Republic;Slovakia;Ukraine,2-s2.0-85102648750
